latitude,longitude
12.77373496,80.01293117
12.7734886,80.01347248
12.77303988,80.01331008
12.77246797,80.01309356
12.77281111,80.01229964
12.77306627,80.01164104
12.77362938,80.01088321
12.77408691,80.01100951
12.77436846,80.01110875
12.77460602,80.0102607
12.77477319,80.009557
12.77369977,80.00908786
12.7726089,80.0085704
12.77134862,80.00803348
12.77064748,80.00758756
12.77067411,80.00742375
12.77122437,80.00774227
12.77184564,80.00796068
12.77305266,80.0085067
12.77380704,80.00879791
12.7746058,80.00924382
12.77609681,80.00988085
12.77772094,80.01066348
12.77889244,80.0111185
12.77990418,80.01155531
12.78094254,80.01206493
12.7819809,80.01241985
12.78272638,80.01292946
12.78281513,80.01287486
12.7838446,80.01333898
12.78526456,80.01403061
12.78629403,80.01467673
12.78780272,80.01560497
12.7888943,80.01616919
12.79074908,80.01731583
12.79159216,80.01780725
12.79246186,80.01836237
12.7933493,80.01892659
12.79421012,80.01949082
12.79513305,80.02003684
12.79569214,80.02049185
12.79572764,80.02051915
12.79626201,80.02087962
12.79689113,80.02124939
12.79788084,80.02189454
12.79788084,80.02189454
12.799515,80.02301173
12.80068115,80.02369621
12.80175524,80.0244043
12.80398778,80.02593061
12.80533037,80.02688259
12.80620497,80.0273153
12.80716395,80.02802339
12.80838377,80.02881801
12.80954989,80.0295497
12.81046283,80.03011617
12.81125302,80.03053315
12.812235,80.03135925
12.81333972,80.03200439
12.8145365,80.03283048
12.81564121,80.03344416
12.81693771,80.03443547
12.81788898,80.03511209
12.81953068,80.03620568
12.82106497,80.03730714
12.82220034,80.03814897
12.82322064,80.03888066
12.82411818,80.03957301
12.82485463,80.03997426
12.82530724,80.04035977
12.82516916,80.04050925
12.82437134,80.03988771
12.82341242,80.03927404
12.82252254,80.03863677
12.82225404,80.03909309
12.82177842,80.03972249
12.82115703,80.04069807
12.82097292,80.04120947
12.82098059,80.04133535
12.82059702,80.04121733
12.82059702,80.04121733
12.81933122,80.04000573
12.81947698,80.03935272
